Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,
xhosaprophet1_title;A prophet?;;;;;;;;;;;;;,
xhosaprophet1_desc;Her voice was soft, but her words rang like a drum. Word of a prophet who has directly spoken to our ancestors have spread to us. She speaks of the return of of our ancestors to the mortal realm and the enlightenment of our people. The words of this young girl have penetrated the minds of our people. If we are to accept her ideas, our people would be pleased, but if we were to ignore, our people would be engraged.;;;;;;;;;;;;;,
xhosaprophet1_option1;The prophet's words ring true.;;;;;;;;;;;;;,
xhosaprophet1_option2;What is this nonsense?;;;;;;;;;;;;;,
xhosaprophet2_desc;Word has spread of a Xhosa prophet. Most have rejected her ideas, and feel threatened by the radicalized nation on our borders.;;;;;;;;;;;;;,
xhosaprophet2_title;A prophet.;;;;;;;;;;;;;,
xhosaprophet2_option1;This will pass with time.;;;;;;;;;;;;;,
xhosaprophet3_title;Prophetic teachings;;;;;;;;;;;;;,
xhosaprophet3_desc;There has been a heightened interest in learning and creating among our people thanks to the prophet's relentless teachings.;;;;;;;;;;;;;,
xhosaprophet3_option1;Rejoice!;;;;;;;;;;;;;,
xhosaprophet4_title;Raids;;;;;;;;;;;;;,
xhosaprophet4_desc;A band of warriors have crossed into Zulu territory and have stolen a large amount of cattle in the name of the prophet. She has stated that she never told them to do so, but doesn't condemn their actions. We are yet to receive a Zulu response.;;;;;;;;;;;;;,
xhosaprophet4_option1;This can only be good for our people.;;;;;;;;;;;;;,
xhosaprophet4_option2;Oh no...;;;;;;;;;;;;;,
xhosaprophet5_title;Raids;;;;;;;;;;;;;,
xhosaprophet5_desc;The Xhosa have cross the border and stole our cattle. We must take immediate action.;;;;;;;;;;;;;,
xhosaprophet5_option1;This is unacceptable. We will take back what is ours!;;;;;;;;;;;;;,
xhosaprophet5_option2;What can we do?;;;;;;;;;;;;;,
xhosaprophet6_title;The bride;;;;;;;;;;;;;,
xhosaprophet6_desc;The wedding had been planned for months. Some people opposed the idea of King Sandile marrying the prophet, calling it a simple power grab, while the chief states tthat it was the prophet's idea in the first place. Despite the protests, the ceremony was grand. The feast had lasted for hours. The marriage between the prophet and the King had cemented the new beliefs of our people.;;;;;;;;;;;;;,
xhosaprophet6_option1; And long shall we reign!;;;;;;;;;;;;;,
xhosaprophet7_title;The King is dead!;;;;;;;;;;;;;,
xhosaprophet7_desc;Today is a day of mourning and grief. Mgolobane Sandile of Rharhabe, chief of the Xhosa, was found dead in his home. He was young, and his death is still wrapped in mystery. Some say he died due to untreated injuries. Others say he was poisoned. He was childless, so our people have looked at the prophet for leadership, which she, in her grace, has accepted. This could be a silver lining for our people.;;;;;;;;;;;;;,
xhosaprophet7_option1;He shall be remembered.;;;;;;;;;;;;;,
xhosaprophet8_title;Death of the prophet;;;;;;;;;;;;;,
xhosaprophet8_desc;1000 cattle were gathered for slaughter. Weeping could be heard from peak to peak. The prophet is dead. Her health had been waning, but we weren't expect such a sudden death. We shall mourn her for decades.;;;;;;;;;;;;;,
xhosaprophet8_option1;May her memory live on.;;;;;;;;;;;;;,
MZA;Mzansi;;;;;;;;;;;;;,
MZA_ADJ;Mzansi;;;;;;;;;;;;;,
claim_zulu_title;Claim Zulu;;;;;;;;;;;;;,
claim_zulu_desc;The prophet has suggested that we conquer the Zulu and teach them her ways, and why shouldn't we? It will be done;;;;;;;;;;;;;,
holy_education_title;Holy education;;;;;;;;;;;;;,
holy_education_desc;Her health is waning. If we are to continue her teachings, we need to adopt new methods of teaching. Our scholars have already learnt themselves in the Scot's script. If we were to translate it to our language, our ability to teach our youth would greatly increase.;;;;;;;;;;;;;,
reform_prophet_administration_desc;The governing systems of old aren't sustainable for a country of our size. The prophet, in her grace, has planned out a new administration that can handle the size of our nation.;;;;;;;;;;;;;,
reform_prophet_administration_title;Reform the administration;;;;;;;;;;;;;,
core_south_africa_title;The conquests of the South;;;;;;;;;;;;;,
core_south_africa_desc;Our conquests will not stop at Zulu. We shall unite all Mzansi under our teachings.;;;;;;;;;;;;;,
form_mzansi_title;Umzansi ungunaphakade!;;;;;;;;;;;;;,
form_mzansi_desc;"One does not achieve greatness by pretending to be great." We have united the South under our teachings. May we be eternal. Umzansi ungunaphakade!;;;;;;;;;;;;;,
expand_mzansi_title;Expand Mzansi;;;;;;;;;;;;;,
expand_mzansi_desc;We are surrounded by lands that are ripe for the taking, and filled with people that would be happy under our control. We must claim these areas.;;;;;;;;;;;;;,
holy_education;Holy Education;;;;;;;;;;;;;,
holy_education_desc;The prophet's holy education.;;;;;;;;;;;;;,
zulu;Nguni;;;;;;;;;;;;;,
mifangaro;Mifangaro;;;;;;;;;;;;;,
sotho;Sotho-Tswana;;;;;;;;;;;;;,
MLW;Miyalaland;;;;;;;;;;;;
MLW_ADJ;Miyala;;;;;;;;;;;;
MLW_liberal;Gulu la Kusintha;;;;;;;;;;;;
MLW_conservative;Gulu la Mfumu;;;;;;;;;;;;
MLW_socialist;Mgwirizano wa Anthu;;;;;;;;;;;;
MLW_reactionary;Gulu Lachikhalidwe;;;;;;;;;;;;
MLW_radical;Mgwirizano Waufulu;;;;;;;;;;;;
MLW_communist;Mgwirizano wa Chikomyunizimu;;;;;;;;;;;;
MLW_fascist;Gulu Limodzi;;;;;;;;;;;;
TSW_liberal;Fetola Setlhopha;;;;;;;;;;;;
TSW_conservative;Setlhopha sa Kgosi;;;;;;;;;;;;
TSW_socialist;Kamano sa Batho;;;;;;;;;;;;
TSW_reactionary;Setlhopha sa Moetlo;;;;;;;;;;;;
TSW_radical;Kamano sa Kgololesego;;;;;;;;;;;;
TSW_communist;Setlhopa sa Phetogo;;;;;;;;;;;;
TSW_fascist;Setlhopha sa Batswana;;;;;;;;;;;;
SHO;Tsonga;Tsonga;Tsonga;;Tsonga;;;;;;;;
SHO_absolute_monarchy;The Second Vatsonga Empire;;;;;;;;;;;;
SHO_ADJ;Vatsonga;Tsonga;Tsonga;;;;;;;;;;
TSW;Batswana;;;;;;;;;;;;
TSW_ADJ;Tswana;Tswana;Tswana;;;;;;;;;;
GAZ;Arbota;;;;;;;;;;;;
GAZ_ADJ;Arbotsy;;;;;;;;;;;;
BAP_conservative;Sehlopha sa Bogoši;Faction royale;KÃ¶nigsfraktion;;;;;;;;;;
BAP_liberal;Sehlopha sa Mpshafatšo;Faction de rÃ©forme;Verbesserung Fraktion;;;;;;;;;;
BAP_reactionary;Kgwerano ya Mmušo;Faction d'empire;Reich Fraktion;;;;;;;;;;
BAP_radical;Mokgatlo wa Kgwebo;Faction radicale;Die radikale Fraktion;;;;;;;;;;
BAP_socialist;Sehlopha sa Bosošiale;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;
BAP_communist;Sehlopha sa Bokomanisi;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;
BAP_fascist;Selekane sa Botšhaba;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;
BAP_ADJ;Bapedi;;;;;;;;;;
BAP;Bapedi;;;;;;;;;;
fund_SHO_rebels_title;Fund Rebels of Tsonga;;;;;;;;;;;;;
fund_SHO_rebels_desc;We have been contacted by members of the liberation movement of Tsonga, currently living under the dominion of a neighboring country. There is an opportunity to stir up sentiment among those living there so that they may rise up and weaken our enemy. There is, of course, a risk that our efforts could be discovered and bring war down upon us.;;;;;;;;;;;;;
fund_GAZ_rebels_title;Fund Rebels of Arbota;;;;;;;;;;;;;
fund_GAZ_rebels_desc;We have been contacted by members of the liberation movement of Arbota, currently living under the dominion of a neighboring country. There is an opportunity to stir up sentiment among those living there so that they may rise up and weaken our enemy. There is, of course, a risk that our efforts could be discovered and bring war down upon us.;;;;;;;;;;;;;
return_cores_SHO_title;Return cores to Tsonga;;;;;;;;;;;;;
return_cores_SHO_desc;We hold provinces that Tsonga has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_GAZ_title;Return cores to Arbota;;;;;;;;;;;;;
return_cores_GAZ_desc;We hold provinces that Arbota has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
PROV2057;Arbota;Arbota;Arbota;;Arbota;;;;;;;;;
POR_2054;Arbota;;;;;;;;;;;;
ENG_2067;Miyalaland;;;;;;;;;;;;
ENG_2068;Tsongaland;;;;;;;;;;;;
ENG_2071;Matabele;;;;;;;;;;;;
ENG_2074;Outer Bechuanaland;;;;;;;;;;;;
ENG_2094;Inner Bechuanaland;;;;;;;;;;;;
TRN_2108;Limpopo;;;;;;;;;;;;
PROV2094;Mammutla;;;;;;;;;;;;
PROV3447;Chiredzi;;;;;;;;;;;;
EVTNAME49517;The Death of Fanomezantsoa;;;;;;;;;;;;
EVTDESC49517;The death of Fanomezantsoa, the chief of Arbota, made his fragile chiefdom descend in a spiral of chaos as his sons, Mzila and Mawewe, fight for the throne. Soshangane's armies, that once overran the Portuguese settlements at Delagoa Bay, Inhambane and Sena, now turn their gaze inwards as the chiefdom slowly edges towards civil war. It goes without saying that this represents an optimal opportunity to take some of these lands back, and several individuals in the colonies already began to take advantage of this situation.;;;;;;;;;;;;
GAZ_absolute_monarchy;Arbota Empire;;;;;;;;;;;;;
SAF;New Rubha;;;;;;;;;;;;;
PROV2087;Heidtoun;;;;;;;;;;;;;
PROV2091;Bàgh Feusgain;;;;;;;;;;;;;
PROV2090;Airdsgainne;;;;;;;;;;;;;
PROV2089;Drumnadrochit;;;;;;;;;;;;;#?khoa
